Fecha,cantidadISPNuevo,cantidadEUNuevo,total
2017-02,25,1,26
2017-03,107,8,115
2017-04,121,15,136
2017-05,133,3,136
2017-06,109,11,120
2017-07,124,14,138
2017-08,154,17,171
2017-09,108,6,114
2017-10,147,3,150
2017-11,115,9,124
2017-12,110,11,121
2018-01,83,8,91
2018-02,86,9,95
2018-03,117,7,124
2018-04,131,11,142
2018-05,96,4,100
2018-06,87,10,97
2018-07,91,3,94
2018-08,83,3,86
